month,day_of_week,hour_of_day,mean_rides
7,5,0,28.333333333333332
7,5,1,15.333333333333334
7,5,2,13.88888888888889
7,5,3,19.444444444444443
7,5,4,27.88888888888889
7,5,5,39.0
7,5,6,46.333333333333336
7,5,7,51.55555555555556
7,5,8,58.333333333333336
7,5,9,58.77777777777778
7,5,10,59.666666666666664
7,5,11,55.666666666666664
7,5,12,58.111111111111114
7,5,13,58.888888888888886
7,5,14,65.0
7,5,15,77.66666666666667
7,5,16,63.333333333333336
7,5,17,64.33333333333333
7,5,18,66.77777777777777
7,5,19,82.0
7,5,20,76.33333333333333
7,5,21,73.77777777777777
7,5,22,59.55555555555556
7,5,23,47.333333333333336
7,6,0,30.625
7,6,1,14.625
7,6,2,11.375
7,6,3,13.125
7,6,4,22.375
7,6,5,32.375
7,6,6,40.75
7,6,7,49.875
7,6,8,48.625
7,6,9,57.875
7,6,10,61.125
7,6,11,59.625
7,6,12,55.375
7,6,13,56.625
7,6,14,62.0
7,6,15,70.125
7,6,16,56.0
7,6,17,50.875
7,6,18,55.375
7,6,19,51.0
7,6,20,31.0
7,6,21,19.25
7,6,22,12.75
7,6,23,8.625
8,0,0,7.1
8,0,1,11.8
8,0,2,26.5
8,0,3,49.0
8,0,4,67.1
8,0,5,65.8
8,0,6,53.2
8,0,7,51.4
8,0,8,55.1
8,0,9,60.1
8,0,10,57.9
8,0,11,55.5
8,0,12,53.6
8,0,13,68.2
8,0,14,78.0
8,0,15,69.5
8,0,16,62.2
8,0,17,61.1
8,0,18,54.1
8,0,19,43.2
8,0,20,31.2
8,0,21,19.5
8,0,22,12.3
8,0,23,7.5
8,1,0,8.444444444444445
8,1,1,10.222222222222221
8,1,2,29.555555555555557
8,1,3,51.666666666666664
8,1,4,66.88888888888889
8,1,5,70.22222222222223
8,1,6,59.888888888888886
8,1,7,59.333333333333336
8,1,8,66.44444444444444
8,1,9,61.888888888888886
8,1,10,64.88888888888889
8,1,11,60.44444444444444
8,1,12,58.666666666666664
8,1,13,71.44444444444444
8,1,14,77.88888888888889
8,1,15,79.11111111111111
8,1,16,76.11111111111111
8,1,17,73.11111111111111
8,1,18,69.77777777777777
8,1,19,51.55555555555556
8,1,20,36.888888888888886
8,1,21,23.88888888888889
8,1,22,18.444444444444443
8,1,23,11.555555555555555
8,2,0,8.625
8,2,1,9.375
8,2,2,28.75
8,2,3,56.125
8,2,4,69.875
8,2,5,71.875
8,2,6,59.125
8,2,7,57.5
8,2,8,67.875
8,2,9,61.5
8,2,10,63.875
8,2,11,68.125
8,2,12,51.125
8,2,13,65.5
8,2,14,77.75
8,2,15,77.125
8,2,16,75.5
8,2,17,70.125
8,2,18,72.25
8,2,19,59.25
8,2,20,47.0
8,2,21,29.0
8,2,22,16.125
8,2,23,12.5
8,3,0,8.625
8,3,1,12.125
8,3,2,31.5
8,3,3,57.375
8,3,4,73.25
8,3,5,68.25
8,3,6,64.875
8,3,7,62.625
8,3,8,64.75
8,3,9,66.5
8,3,10,65.75
8,3,11,59.125
8,3,12,53.5
8,3,13,65.875
8,3,14,73.25
8,3,15,96.625
8,3,16,81.375
8,3,17,88.875
8,3,18,74.375
8,3,19,72.25
8,3,20,62.75
8,3,21,43.5
8,3,22,27.75
8,3,23,20.25
8,4,0,14.875
8,4,1,14.375
8,4,2,29.0
8,4,3,47.375
8,4,4,65.5
8,4,5,72.0
8,4,6,59.25
8,4,7,52.5
8,4,8,66.5
8,4,9,69.5
8,4,10,60.625
8,4,11,60.625
